59284,#carajo,225470149245931521,385780863,nskorlich,"Nicole Skorlich","De esas veces en las que ni un cigarro te puede ayudar a calmarte... ):  #carajo","Wed, 18 Jul 2012 06:00:47 +0000",http://a0.twimg.com/profile_images/1798320357/25425_386294858610_591588610_3935617_1593851_n_normal.
59285,#carajo,225469139521781761,278263738,Serchsoria,"Sergio Soria","No me llega el dm de Genny #carajo","Wed, 18 Jul 2012 05:56:46 +0000",http://a0.twimg.com/profile_images/1437912739/276389_1428715402_4484868_n_normal.jpg
59286,#carajo,225468356399079424,183869533,Draggnazzo,"Ricardo A. Fragoso","#NoMAMAR...!! Un juego de helicópteros !!! UUuuurrra! ..... #Carajo... cuesta 19 dólares... #LaPutaquete...","Wed, 18 Jul 2012 05:53:39 +0000",http://a0.twimg.com/profile_images/2383961225/4rpadr8j1vqi8t5c9hnn_normal.png
59287,#carajo,225467660475965440,278155600,SofaSofita,"Sofa IxtcheL","@cesgom @lupita_tovar_r y yo tuve que a fuerzas colgar xq me estaba quedando dormida y . . . Sin pila. #carajo","Wed, 18 Jul 2012 05:50:53 +0000",http://a0.twimg.com/profile_images/2261796507/576863_447221408638970_100000533452066_1632849_1392281
59288,#carajo,225467608248500224,129106516,ricardinie,"Ricardo Daniel ","Necesito ponerme a hacer ejercicio Urgentemente..!! #Carajo","Wed, 18 Jul 2012 05:50:41 +0000",http://a0.twimg.com/profile_images/798064710/Ricardo-__247__normal.jpg
59289,#carajo,225467501503463424,120545558,Kopitow,"Kory Cabral","Hoy hice un corajee kañoon y no pudeeee sakarlooooooo!!!! #Carajo","Wed, 18 Jul 2012 05:50:16 +0000",http://a0.twimg.com/profile_images/2348086955/ioop_normal.jpg
59290,#carajo,225466939802271744,314366281,BarbaraNapal,"Barbi N. Gonzalez  ♡","A mi me queda por lo menos este sindrome incurable de quererte tanto #Carajo","Wed, 18 Jul 2012 05:48:02 +0000",http://a0.twimg.com/profile_images/2403395756/DSC07023_normal.JPG
59291,#carajo,225466494685949952,304702365,JavidonosoUC,"Javi Donoso","@andresmorgado a mí se me respeta #carajo! vol:","Wed, 18 Jul 2012 05:46:15 +0000",http://a0.twimg.com/profile_images/2383287686/gj0w4b20y8wqmn7dw5e2_normal.jpeg
59292,#carajo,225466292214312960,127939146,jfcisco,"Juan Fco. Concepción","Calor Mode: ON!!! #Yqueseto #Carajo","Wed, 18 Jul 2012 05:45:27 +0000",http://a0.twimg.com/profile_images/2405041720/CaptureNux_202012-07-16_2017.38.59_normal.jpg
59293,#carajo,225464603633659904,609665497,evee_gimenez92,"Eve Giménez","@JanniCano jajajaja boludaaa estamos iguales, yo no crezco mas :'( #carajo","Wed, 18 Jul 2012 05:38:45 +0000",http://a0.twimg.com/profile_images/2400477763/531437_104016656411319_965868309_n_normal.jpg
59294,#carajo,225464173792985088,497545384,alopeezg,"Alex López","chingadooooo! no se puede:( #carajo","Wed, 18 Jul 2012 05:37:02 +0000",http://a0.twimg.com/profile_images/2393016297/image_normal.jpg
59295,#carajo,225463522472103938,130779414,ek77or,"Héctor Santana ","Sales a fumar, vez a tu ventana y esta la dama de negro! Por q no es jennifer anniston!!! #Carajo.","Wed, 18 Jul 2012 05:34:27 +0000",http://a0.twimg.com/profile_images/2313942230/179636_148323135223942_100001387690469_316057_5355403_
59296,#carajo,225461830980599808,320010922,SammyLopezMijez,SammyLopezMijez,"No te pases y para terminar el día un ratón #Carajo","Wed, 18 Jul 2012 05:27:44 +0000",http://a0.twimg.com/profile_images/2407730573/Foto_20del_20d_C3_ADa_2014-02-2012_20a_20la_s__2014_EF
59297,#carajo,225461758758887424,309461145,LalooPeto,"Eduardo  Peto","Por que me ponen a decidir #carajo","Wed, 18 Jul 2012 05:27:26 +0000",http://a0.twimg.com/profile_images/2290157466/lvi075remkgdhfy91fxh_normal.jpeg
59298,#carajo,225460859302985728,389699268,PaBlitO_JV,PaBlitO,"Y pensar qe nosotros ibamos tan bien...#carajo!","Wed, 18 Jul 2012 05:23:52 +0000",http://a0.twimg.com/profile_images/2149377340/IMG_2296_normal.JPG
59299,#carajo,225460187400650752,377154168,gmfournier,"gina m. fournier ","PORQ RAYOS TODOS TIENEN -1 :| #carajo","Wed, 18 Jul 2012 05:21:12 +0000",http://a0.twimg.com/sticky/default_profile_images/default_profile_6_normal.png
59300,#carajo,225459346778243072,366965879,AndreePalacios,"andree palacios","#TwitterOff #Portoviejo #Emelec #Carajo #EhDicho .","Wed, 18 Jul 2012 05:17:51 +0000",http://a0.twimg.com/profile_images/2403160644/IMG-20120716-00079_1342452819241_n_normal.jpg
59301,#carajo,225459334061101056,219773059,DianiiMejia,"Diana Mejía","Suerte! Si te vi no me acuerdo. Jajajajajaja. #Carajo","Wed, 18 Jul 2012 05:17:48 +0000",http://a0.twimg.com/profile_images/2381454430/IMG02003-20120708-1454_normal.jpg
59302,#carajo,225459248929308672,250942853,MarisolGoDi,"Marisol GoDi","Ni como negarlo #Carajo","Wed, 18 Jul 2012 05:17:28 +0000",http://a0.twimg.com/profile_images/1679324202/5390_normal.jpg
59303,#carajo,225458522094186496,148624909,SalvaSanchez_,SalváSánchez,"Soy un amor le estoy tirando paro a una amiga! Haciendo creer que soy su novio! La lección es: Valoren a sus novias chicos. #Carajo","Wed, 18 Jul 2012 05:14:35 +0000",http://a0.twimg.com/profile_images/2394375339/images_20_1__normal.jpg
59304,#carajo,225458381312368640,177461822,Zaravillaneda,"Zara V ","#DeEsasVecesQue quieres ignorar a tus sentimientos y no puedes #Carajo","Wed, 18 Jul 2012 05:14:01 +0000",http://a0.twimg.com/profile_images/2338828982/rvamad8tuyypedgccm0x_normal.jpeg
59305,#carajo,225458373154447360,218754706,OdioaComcel,OdioaComcel,"RT @juanpapepa: Comenzaron los problemas con @OdioaComcel o, mejor dicho, Claro. Qué viva la ineficiencia! #Carajo","Wed, 18 Jul 2012 05:13:59 +0000",http://a0.twimg.com/profile_images/1173583152/Gr_fico1_normal.jpg
59306,#carajo,225457780528656384,94258812,Sof1aXoxO,Sof1a,"#CierroLosOjosCuando recuerdo tantos dias y noches juntos, como te quiero #carajo","Wed, 18 Jul 2012 05:11:38 +0000",http://a0.twimg.com/profile_images/2087979684/images_normal.jpg
59307,#carajo,225456255928504321,125840179,Lyannevr,"-Lyanne.. ","ay nooooo volvió la epidemia de embarazos.. #CARAJO esta gente es morona o se hace?????","Wed, 18 Jul 2012 05:05:34 +0000",http://a0.twimg.com/profile_images/1897592498/Photo_on_2-28-12_at_12.50_PM__2_normal.jpg
59308,#carajo,225456030102978560,229576784,LukjakeRuiz,"dj pD™","Una novia que te saque la ceja #Carajo","Wed, 18 Jul 2012 05:04:41 +0000",http://a0.twimg.com/profile_images/2346247989/image_normal.jpg
59309,#carajo,225455079405273089,84780824,alitassan,"Anaid Marroquín","Agua de rio mezclada con mar ¿Qué? Yo quiero un tequila mezclado con limón. #Carajo!","Wed, 18 Jul 2012 05:00:54 +0000",http://a0.twimg.com/profile_images/2365909852/8xv7bJyV_normal
59310,#carajo,225454758406795265,584313978,Matt_almiron,"Matias Almiron","RT @Juanma_Mel: @almarazlucas @matt_almiron anda vos frustrado! Jajajaja ah y maty va aprendiendo que #CARAJO suma siempre ;)","Wed, 18 Jul 2012 04:59:37 +0000",http://a0.twimg.com/profile_images/2408013077/xoddbfm31sto6z7c338s_normal.jpeg
59311,#carajo,225454205471698944,55971784,LeSLiZD,"Lesli De la rosa","se me antojó un cafesito con una rejita #Carajo jaaaaa!","Wed, 18 Jul 2012 04:57:25 +0000",http://a0.twimg.com/profile_images/2341755416/8ycal277xuakn0qmrekm_normal.jpeg
59312,#carajo,225453941431877632,561942383,Juanma_Mel,"Juanma Melgarejo","@almarazlucas @matt_almiron anda vos frustrado! Jajajaja ah y maty va aprendiendo que #CARAJO suma siempre ;)","Wed, 18 Jul 2012 04:56:23 +0000",http://a0.twimg.com/profile_images/2161782918/juanam_normal.jpg
59313,#carajo,225453666444906496,338075454,joiiarizm,"Joii Ariz","#carajo ""hombres háganse cargo de sus hijos por favor"" #findelcomunicado ¬¬","Wed, 18 Jul 2012 04:55:17 +0000",http://a0.twimg.com/profile_images/2388634649/o8gyuoe2eq8d553whjnu_normal.jpeg
59314,#carajo,225453590565748737,277249903,FrUttradiitah27,"Tuh FruUttradiitaah♥","@NeeniittoPretty xQ nadiie #Qiiere a yO en estta #pUttah viida.. Pero el que me hable #Sikass amii lo mandO al #CarajO :(","Wed, 18 Jul 2012 04:54:59 +0000",http://a0.twimg.com/profile_images/2399180717/406850_121826501269594_100003267336433_104662_14818489
59315,#carajo,225453152302940162,357844570,CiindyMaravisHh,"ALinE ♪ ♕","@nnalindap ia vete pal #Carajo!! deja de joder!! un besiito socio!! jaaaa","Wed, 18 Jul 2012 04:53:14 +0000",http://a0.twimg.com/profile_images/2395279747/sjxgdf5er3meujqk0ldy_normal.jpeg
59316,#carajo,225452495105822721,176481988,RicardoBB231,"Ricardo BB","#Carajo algo me pasa y no se que??!! :/","Wed, 18 Jul 2012 04:50:38 +0000",http://a0.twimg.com/profile_images/2219504226/Yo11_normal.jpg
59317,#carajo,225451966988419072,89497873,Luiigi_Campos,"Luiigi Campos","@MarianaMerhy pff eso me paso hoy a mii !! Y volvi a pensar en lo q me hizo!! Por mas que quize borrarla no pude!! #carajo ☹","Wed, 18 Jul 2012 04:48:32 +0000",http://a0.twimg.com/profile_images/2394371888/IMG00723-20120508-1232_normal.jpg
59318,#carajo,225451094019538944,451192334,Mr_Crowbar,"Juan Jacobo","Bueno pues me tengo que hacer cola de caballo o a la samurai por el calor que hiso hoy en el dia, en especial en el concierto #carajo","Wed, 18 Jul 2012 04:45:04 +0000",http://a0.twimg.com/profile_images/2404916584/q6nn7o8ivaznzw3ict4p_normal.jpeg
59319,#carajo,225449590869069825,70829663,hiram_hrs,HIRAM,"dicen que entre mas trates mal  a las mujeres mas te quieren que opinan? #carajo","Wed, 18 Jul 2012 04:39:05 +0000",http://a0.twimg.com/profile_images/1135856713/29ee3156-fdb8-48dc-a572-60b4cfef0003_normal.png
59320,#carajo,225448272230219776,71657820,j0su3rc,"Josue Romero ™","RT @thancis: Oigan la lluvia no hace daño solo cae y ya. MANEJEN NORMAL #carajo","Wed, 18 Jul 2012 04:33:51 +0000",http://a0.twimg.com/profile_images/2371901330/bz6ociebmi3hw3ag1o1b_normal.jpeg
59321,#carajo,225448184313425921,487699036,AgoosCai,"Agostina Yanet","RT @Ju_Marod: ¿Eh, porque aca no aparece el corazon del &lt;3? #Carajo","Wed, 18 Jul 2012 04:33:30 +0000",http://a0.twimg.com/profile_images/2408031898/354yUbi4_normal
59322,#carajo,225447938921467908,254805293,Ju_Marod,"Julian Rodriguez","¿Eh, porque aca no aparece el corazon del &lt;3? #Carajo","Wed, 18 Jul 2012 04:32:31 +0000",http://a0.twimg.com/profile_images/2381233375/60cxtey9q25dvjxwhiy8_normal.jpeg
59323,#carajo,225447614001332224,615531290,emiloyamin,"emilio yamin faure","Encontrarme al super agente 86 ha sido lo mejor de todo mi dia #carajo","Wed, 18 Jul 2012 04:31:14 +0000",http://a0.twimg.com/profile_images/2406562282/IMG00542-20120312-1417_normal.jpg
59324,#carajo,225446973715644416,86613579,melinamancilla,Melina,"que gran dolor de siatica que tengo #Carajo","Wed, 18 Jul 2012 04:28:41 +0000",http://a0.twimg.com/profile_images/2404410669/ktprvxcf6urena8kmrph_normal.jpeg
59325,#carajo,225446933257404416,389038389,DreaL711,andrea,"RT @ChinitaaCami10: STOP CONTRADICTING YOURSELF. #carajo","Wed, 18 Jul 2012 04:28:32 +0000",http://a0.twimg.com/profile_images/2372754992/image_normal.jpg
59326,#carajo,225446084728721410,420012629,ChinitaaCami10,"Emotional Patrick ✿","STOP CONTRADICTING YOURSELF. #carajo","Wed, 18 Jul 2012 04:25:09 +0000",http://a0.twimg.com/profile_images/2408046559/image_normal.jpg
59327,#carajo,225446036976570370,434333217,rebe_lo,Rebe,"@Serafo_Perez osh tons no y ya...#carajo!!","Wed, 18 Jul 2012 04:24:58 +0000",http://a0.twimg.com/profile_images/2002893534/IMG00316-20120125-2026_normal.jpg
59328,#carajo,225445251052077057,138535544,CaroReyes6,"Carolina Reyes","RT @PalaciosNanda: Si ud quiere tener amante y no ser descubierto, pues no tenga facebook y punto!!"" #sehadicho #carajo","Wed, 18 Jul 2012 04:21:51 +0000",http://a0.twimg.com/profile_images/2356328229/IMG01428-20120629-2239_normal.jpg
59329,#carajo,225444644434096129,68807166,PalaciosNanda,FernandaPalacios,"Si ud quiere tener amante y no ser descubierto, pues no tenga facebook y punto!!"" #sehadicho #carajo","Wed, 18 Jul 2012 04:19:26 +0000",http://a0.twimg.com/profile_images/2407955946/A1dol0x8_normal
